Emp.No,Name,Retirement,Sex,Age,Tenure,Hiring.Source,University,Univ.GPA,Education.Level,Biz.Location,Job.Family,Team,Is.Manager,OverTime,Performance.Score,Unused.Vacation,Cognitive.Score,Endurance.Score,Execution.Score,Manager.Vision,Manager.Communication,Manager.Execution,Engagement.Score,Sales.Amount
1098,John463,No,Male,26,7.1,Intern,OSAKA UNIVERSITY,81.56,Bachelor,Singapore,Manufacturing,Quality Assurance,No,217,32.1,25,77,78,65,7,30,34,46.5,NA
2808,John464,No,Male,42,20.2,Job Board,STANFORD UNIVERSITY,85.11,Master,USA,Manufacturing,Manufacturing,No,374,49.5,17,73,92,86,26,37,21,46.5,NA
3568,Jane465,No,Female,46,38.8,Job Board,SEOUL NATIONAL UNIVERSITY,92.67,Bachelor,Tokyo,Manufacturing,Biz Dev,Yes,201,33.6,10,90,66,99,35,24,14,45.2,NA
4904,John466,No,Male,30,8.5,Job Board,THE UNIVERSITY OF TOKYO,82.67,Master,Singapore,Manufacturing,Manufacturing,No,228,30.5,27,68,76,72,25,6,39,45.9,NA
4561,Jane467,No,Female,28,10.6,Intern,THE UNIVERSITY OF TOKYO,84.67,Master,Tokyo,Research,Manufacturing,No,78,65.2,9,78,75,99,25,23,34,48.9,NA
662,Jane468,No,Female,27,10.3,Overseas,YALE UNIVERSITY,79.33,Master,Seoul,Manufacturing,Human Resources,No,346,89.7,5,99,79,66,61,73,15,60.5,NA
1078,John469,No,Male,28,9.5,Job Board,MIT,82.67,Master,USA,Marketing,Marketing,No,279,38.2,10,78,97,82,74,74,38,63,138292
2936,John470,No,Male,43,20.4,Special,PRINCETON UNIVERSITY,73.11,Bachelor,Seoul,Marketing,Marketing,No,236,85.7,7,86,79,100,91,75,54,68.9,87277
2000,John471,No,Male,41,24,Job Board,KYOTO UNIVERSITY,77.56,Bachelor,USA,Marketing,Finance,No,62,47.6,12,86,87,66,41,25,66,50.7,88550
1714,Jane472,Yes,Female,38,16.3,Job Board,YALE UNIVERSITY,83.33,Bachelor,USA,Research,Tech Support,No,162,62,5,95,98,85,19,24,5,39.7,NA
2527,John473,No,Male,47,29.3,Job Board,STANFORD UNIVERSITY,84.44,2-Year College,Seoul,Administration,Tech Support,No,332,25.4,14,84,67,96,18,11,7,42,NA
3953,John474,No,Male,37,20.3,Job Board,NAGOYA UNIVERSITY,89.33,Doctor,Singapore,Marketing,Marketing,No,61,50,12,96,97,96,91,70,49,65.2,202735
2468,Jane475,No,Female,38,24.2,Job Board,OSAKA UNIVERSITY,88.67,Bachelor,Tokyo,Administration,Manufacturing,No,112,41.4,12,94,70,64,34,34,15,43.9,NA
4300,John476,No,Male,44,36.3,Special,HOKKAIDO UNIVERSITY,75.78,HighSchool,Shanghai,Manufacturing,Manufacturing,Yes,315,43.6,4,73,77,85,19,15,18,46,NA
4784,John477,No,Male,26,8.3,Job Board,MIT,81.16,Master,Singapore,Marketing,Tech Support,No,27,28.5,17,79,97,66,24,6,70,42.2,127724
2826,John478,No,Male,50,34.1,Job Board,PRINCETON UNIVERSITY,75.11,Master,Seoul,Manufacturing,Finance,No,466,52.9,13,97,74,85,50,51,52,58.1,NA
4408,Jane479,No,Female,32,16.5,Special,STOCKHOLM UNIVERSITY,88,Master,Shanghai,Marketing,Marketing,No,10,65.7,1,75,95,91,89,77,68,65.8,113408
2769,John480,No,Male,32,14.1,Job Board,MIT,84.22,HighSchool,Shanghai,Manufacturing,Tech Support,No,153,51.8,10,91,93,99,9,15,5,44.8,NA
4756,Jane481,No,Female,29,12.9,Job Board,UNIVERSITY OF OXFORD,80.7,Bachelor,Tokyo,Manufacturing,Marketing,No,136,48.6,10,84,89,77,95,75,26,64.8,NA
590,John482,No,Male,34,24.2,Job Board,MIT,80,Master,Singapore,Administration,Biz Dev,Yes,255,60.8,7,93,71,77,16,72,38,49.4,NA
1097,John483,No,Male,26,3.9,Job Board,KYOTO UNIVERSITY,75.78,Bachelor,Amsterdam,Research,Manufacturing,No,50,36.5,3,85,79,74,0,29,7,39.4,NA
1286,John484,Yes,Male,32,14.2,Job Board,OSAKA UNIVERSITY,67.44,Bachelor,Tokyo,Research,Marketing,No,173,42.2,22,88,77,82,91,16,25,46.9,NA
3625,John485,No,Male,40,21.1,Job Board,HOKKAIDO UNIVERSITY,81.78,Bachelor,Seoul,Manufacturing,Quality Assurance,No,288,54,11,90,94,70,3,20,3,40.7,NA
3896,John486,No,Male,46,26.5,Overseas,STANFORD UNIVERSITY,68,Bachelor,Shanghai,Research,Finance,No,90,45,19,76,83,93,41,37,74,55,NA
5513,John487,No,Male,32,7.9,Intern,SOGANG UNIVERSITY,82.89,Master,Singapore,Manufacturing,Manufacturing,No,296,37.3,24,92,87,71,17,33,19,43.6,NA
2164,Jane488,No,Female,39,19.3,Job Board,NAGOYA UNIVERSITY,85.11,Master,Shanghai,Manufacturing,Tech Support,No,265,61.4,0,92,97,66,27,10,52,48.2,NA
4495,John489,No,Male,30,10.6,Job Board,KYOTO UNIVERSITY,79.78,Bachelor,USA,Administration,Human Resources,No,93,32.6,16,82,69,96,74,95,34,63.8,NA
62,John490,No,Male,37,19.7,Job Board,NAGOYA UNIVERSITY,80.22,Bachelor,Amsterdam,Manufacturing,Tech Support,No,246,34.9,19,84,98,68,7,6,13,44.5,NA
3021,John491,No,Male,42,22.3,Job Board,HARVARD UNIVERSITY,71.78,Bachelor,Singapore,Research,Manufacturing,No,28,50.3,13,78,97,95,16,16,39,41.8,NA
3000,John492,No,Male,38,20.7,Special,HARVARD UNIVERSITY,68.22,Bachelor,Seoul,Administration,Marketing,No,306,64,12,68,77,67,92,74,8,64.8,NA
2973,John493,No,Male,40,21.9,Job Board,UNIVERSITY OF TORONTO,80,HighSchool,Singapore,Administration,Quality Assurance,No,29,51.5,23,87,90,89,26,74,39,53.2,NA
529,Jane494,Yes,Female,32,17.9,Job Board,THE UNIVERSITY OF TOKYO,77.56,Doctor,USA,Manufacturing,Manufacturing,No,303,62.4,12,81,96,69,3,21,33,40.8,NA
2096,John495,No,Male,44,24.4,Job Board,KYOTO UNIVERSITY,73.95,Master,Singapore,Research,Manufacturing,No,154,72.1,7,82,94,91,21,23,59,52.5,NA
3427,John496,No,Male,41,34.9,Job Board,LEIDEN UNIVERSITY,78.89,Master,USA,Manufacturing,Human Resources,Yes,197,45,13,75,79,66,84,87,33,65.8,NA
2702,John497,No,Male,40,21.6,Intern,UNIVERSITY OF CAMBRIDGE,67.56,Bachelor,Tokyo,Manufacturing,Quality Assurance,No,356,31.7,15,73,83,97,17,29,12,42.7,NA
4357,John498,No,Male,38,19.4,Job Board,THE UNIVERSITY OF TOKYO,62.89,Bachelor,USA,Marketing,Marketing,No,13,42.8,18,87,98,84,91,76,40,64.8,130902
4012,John499,No,Male,38,21.9,Job Board,ECOLE NORMALE SUP?RIEURE DE LYON,95.11,Bachelor,Tokyo,Manufacturing,Tech Support,No,188,30.4,5,97,95,80,8,13,17,39.5,NA
3559,John500,No,Male,40,18.3,Job Board,UNIVERSITY OF OXFORD,84,Bachelor,Singapore,Marketing,Tech Support,No,59,46.9,9,81,90,95,25,7,65,42.7,95340
2041,Jane501,No,Female,45,30.5,Job Board,UNIVERSITY OF HONG KONG,83.78,HighSchool,Singapore,Marketing,Tech Support,No,64,50.1,10,78,68,90,26,18,88,50.3,28619
4694,John502,No,Male,28,7.8,Intern,UNIVERSITY OF CAMBRIDGE,99.56,Doctor,Tokyo,Administration,Biz Dev,No,153,39.7,18,78,74,96,8,44,8,43.2,NA
4022,Jane503,No,Female,35,16.9,Job Board,THE UNIVERSITY OF TOKYO,89.11,2-Year College,Shanghai,Manufacturing,Human Resources,No,159,49.8,5,99,88,74,84,85,28,64.3,NA
394,John504,No,Male,48,31.6,Job Board,STANFORD UNIVERSITY,62,Bachelor,Tokyo,Manufacturing,Manufacturing,No,258,37.5,22,87,69,63,5,25,29,42.7,NA
1187,Jane505,No,Female,26,19.8,Job Board,MIT,87.56,Bachelor,Tokyo,Research,Biz Dev,Yes,38,45.3,8,92,69,90,1,48,54,52.5,NA
767,John506,No,Male,31,12.5,Job Board,SEOUL NATIONAL UNIVERSITY,80,HighSchool,USA,Manufacturing,Manufacturing,No,247,42.4,7,82,97,82,19,27,28,42.4,NA
4649,John507,No,Male,32,10.4,Job Board,MIT,66.98,2-Year College,Tokyo,Research,Tech Support,No,31,57,21,96,97,63,13,4,39,47.1,NA
3399,John508,No,Male,39,22.2,Job Board,YALE UNIVERSITY,80.67,Bachelor,Tokyo,Administration,Marketing,No,8,33.8,8,94,90,77,90,74,13,63.2,NA
721,John509,No,Male,47,30.1,Job Board,TSINGHUA UNIVERSITY,74.89,Bachelor,USA,Research,Biz Dev,No,66,56.4,7,92,100,65,23,32,17,50.6,NA
1555,Jane510,No,Female,41,34.8,Overseas,LEIDEN UNIVERSITY,87.11,Bachelor,Tokyo,Manufacturing,Quality Assurance,Yes,120,37.9,11,87,66,74,2,19,21,39.1,NA
3357,John511,No,Male,43,24.7,Job Board,UNIVERSITY OF SUSSEX,73.33,Bachelor,Singapore,Research,Marketing,No,162,48.8,14,92,75,65,91,75,43,64.5,NA
2080,John512,No,Male,45,27.9,Special,THE UNIVERSITY OF TOKYO,70.67,Master,Seoul,Research,Human Resources,No,371,79.4,10,97,82,65,83,82,24,65.6,NA
855,John513,No,Male,36,26.2,Job Board,KYOTO UNIVERSITY,73.56,Bachelor,Seoul,Marketing,Tech Support,Yes,364,25.4,22,100,69,81,9,13,16,42.8,83451
1955,John514,No,Male,42,23.1,Job Board,OSAKA UNIVERSITY,74.22,Master,Tokyo,Manufacturing,Tech Support,No,207,32.8,13,85,73,90,20,0,5,40,NA
2631,John515,No,Male,41,21.7,Special,HARVARD UNIVERSITY,68,Bachelor,Singapore,Administration,Tech Support,No,156,31.4,12,91,71,64,23,12,48,43.5,NA
5419,John516,No,Male,33,14.2,Intern,YALE UNIVERSITY,90,HighSchool,Shanghai,Marketing,Manufacturing,No,74,32.8,5,92,90,71,16,28,19,39.5,72058
4034,John517,No,Male,41,32,Job Board,UNIVERSITY OF OXFORD,77.33,Bachelor,Shanghai,Manufacturing,Tech Support,Yes,237,36.8,6,98,80,63,29,11,24,42.9,NA
3834,John518,No,Male,36,19,Job Board,OSAKA UNIVERSITY,81.4,Bachelor,Tokyo,Research,Legal,No,110,44.4,15,89,82,98,32,47,75,52.5,NA
3389,John519,No,Male,39,18.8,Job Board,HARVARD UNIVERSITY,75.11,Bachelor,Singapore,Research,Tech Support,No,106,34.9,26,81,79,91,22,8,42,42.1,NA
4887,Jane520,No,Female,28,11.2,Job Board,PEKING UNIVERSITY,83.78,Bachelor,Shanghai,Manufacturing,Manufacturing,No,131,51.6,0,78,80,82,17,25,19,47.6,NA
4851,John521,No,Male,49,28.7,Job Board,HARVARD UNIVERSITY,70.22,Doctor,Tokyo,Manufacturing,Tech Support,No,156,48.6,19,95,98,90,25,10,21,42.4,NA
3326,John522,No,Male,38,19.3,Job Board,KYOTO UNIVERSITY,75.33,Bachelor,Tokyo,Manufacturing,Tech Support,No,228,41.5,11,67,89,97,23,17,28,45.3,NA
781,John523,No,Male,30,11.1,Job Board,YALE UNIVERSITY,70.22,Bachelor,Tokyo,Research,Biz Dev,No,40,47.9,1,86,84,100,29,49,15,48,NA
302,Jane524,No,Female,45,42.4,Job Board,UNIVERSITY OF OXFORD,81.78,2-Year College,USA,Marketing,Tech Support,Yes,33,37.9,12,82,75,92,16,23,46,39,64162
225,John525,No,Male,45,25,Job Board,PEKING UNIVERSITY,79.56,Bachelor,Tokyo,Manufacturing,Tech Support,No,153,49.6,1,99,86,94,30,15,8,42.8,NA
5679,John526,No,Male,27,10.5,Job Board,MIT,90,Master,Seoul,Manufacturing,Quality Assurance,No,269,63.6,9,68,96,62,18,15,2,45.1,NA
1232,Jane527,Yes,Female,30,14.9,Job Board,DUKE UNIVERSITY,81.86,Bachelor,Tokyo,Manufacturing,Marketing,No,265,48.3,10,79,76,75,91,12,22,46.2,NA
730,Jane528,No,Female,29,10.8,Job Board,KYOTO UNIVERSITY,89.11,Bachelor,Seoul,Research,Marketing,No,78,80.9,4,98,94,70,72,70,22,59.6,NA
2971,John529,No,Male,40,17.3,Job Board,DUKE UNIVERSITY,90.22,2-Year College,USA,Manufacturing,Tech Support,No,178,38.5,5,79,71,87,24,13,43,43.4,NA
1010,John530,Yes,Male,29,8.3,Job Board,THE UNIVERSITY OF TOKYO,75.78,2-Year College,Singapore,Manufacturing,Marketing,No,323,40.7,13,97,70,81,72,25,35,48.6,NA
726,John531,No,Male,33,11.7,Job Board,STANFORD UNIVERSITY,85.11,Bachelor,Singapore,Manufacturing,Marketing,No,214,44.1,22,78,66,77,74,72,52,68.3,NA
2733,John532,No,Male,41,20.4,Job Board,THE UNIVERSITY OF TOKYO,79.07,2-Year College,USA,Administration,Quality Assurance,No,55,60,10,80,86,72,34,73,32,52.5,NA
1616,John533,No,Male,44,24,Job Board,UNIVERSITY OF PENNSYLVANIA,73.11,HighSchool,USA,Research,Tech Support,No,114,55.5,12,68,98,85,21,4,7,44.4,NA
2064,John534,No,Male,41,23.9,Intern,NAGOYA UNIVERSITY,74.67,Bachelor,Tokyo,Research,Manufacturing,No,28,67.6,10,82,94,70,11,23,22,48.2,NA
2229,John535,No,Male,35,16.9,Job Board,STANFORD UNIVERSITY,78.67,HighSchool,Tokyo,Manufacturing,Human Resources,No,212,37.5,8,98,78,88,70,73,30,62.6,NA
3422,John536,Yes,Male,40,21.7,Job Board,KYOTO UNIVERSITY,70.89,Bachelor,Seoul,Manufacturing,Marketing,No,478,78.3,4,67,93,66,90,14,22,45.8,NA
232,John537,No,Male,36,22.9,Job Board,THE UNIVERSITY OF TOKYO,68,Master,USA,Research,Marketing,No,300,64.9,10,82,71,92,68,71,42,62.2,NA
2912,John538,No,Male,39,22.2,Job Board,KYOTO UNIVERSITY,80.22,Bachelor,Seoul,Research,Tech Support,No,163,83.5,9,69,83,66,16,17,18,48.5,NA
3291,John539,No,Male,37,16.4,Job Board,UNIVERSITY OF CHICAGO,82.6,Master,Tokyo,Manufacturing,Tech Support,No,250,60.7,3,99,66,100,28,13,26,46.9,NA
5002,John540,No,Male,35,16.9,Job Board,OSAKA UNIVERSITY,89.33,Master,Amsterdam,Research,Biz Dev,No,158,37.7,13,72,81,78,1,31,18,45,NA
3927,John541,No,Male,45,28,Job Board,KYOTO UNIVERSITY,73.78,Bachelor,Singapore,Manufacturing,Manufacturing,No,202,36.2,22,86,66,68,32,27,37,49.6,NA
5596,John542,No,Male,27,7.4,Intern,KYOTO UNIVERSITY,80.23,Doctor,Singapore,Marketing,Finance,No,56,43.8,10,78,99,86,48,23,86,50.2,114260
4409,John543,No,Male,45,24.2,Job Board,UNIVERSITY OF CAMBRIDGE,80,HighSchool,Seoul,Administration,Biz Dev,No,299,82,7,70,89,87,32,73,37,57.8,NA
592,John544,No,Male,33,16.3,Job Board,SEOUL NATIONAL UNIVERSITY,80.67,HighSchool,Seoul,Manufacturing,Tech Support,No,302,51.5,20,82,97,66,3,3,3,39.6,NA
3850,John545,No,Male,40,20.5,Job Board,UNIVERSITY OF OXFORD,76,Master,Tokyo,Manufacturing,Tech Support,No,157,68.8,10,99,97,95,17,17,40,49.5,NA
635,John546,No,Male,45,35.4,Job Board,THE UNIVERSITY OF TOKYO,91.11,2-Year College,Tokyo,Research,Biz Dev,Yes,90,39.8,4,82,91,94,39,50,20,50,NA
925,Jane547,No,Female,28,10.9,Job Board,HARVARD UNIVERSITY,78.22,Bachelor,Tokyo,Manufacturing,Manufacturing,No,120,53.4,4,95,80,86,3,13,18,46.2,NA
2225,John548,No,Male,45,38.4,Job Board,UNIVERSITY OF HONG KONG,86,Doctor,Tokyo,Manufacturing,Tech Support,Yes,297,42.6,12,82,97,71,29,14,19,44.8,NA
5590,John549,No,Male,28,13.5,Job Board,KYOTO UNIVERSITY,78.89,Doctor,Amsterdam,Marketing,Manufacturing,No,64,45.6,6,83,82,90,11,12,4,38.5,59812
2732,John550,No,Male,36,25.1,Job Board,UNIVERSITY OF CHICAGO,89.78,Bachelor,USA,Administration,Manufacturing,Yes,90,43.4,19,90,86,72,25,19,22,43,NA
3141,John551,No,Male,46,25.1,Job Board,LEIDEN UNIVERSITY,80,Master,Singapore,Manufacturing,Marketing,No,182,50.3,14,98,84,85,91,73,56,69.4,NA
2005,John552,No,Male,42,22.4,Job Board,UNIVERSITY OF TORONTO,86.44,Bachelor,Amsterdam,Research,Quality Assurance,No,28,39.7,14,99,71,96,35,38,8,45.8,NA
1181,John553,Yes,Male,40,23.5,Job Board,OSAKA UNIVERSITY,83.33,HighSchool,USA,Manufacturing,Biz Dev,No,339,38.8,16,68,93,75,5,5,36,33.8,NA
5109,Jane554,Yes,Female,40,24.9,Job Board,HARVARD UNIVERSITY,80,Bachelor,Tokyo,Research,Manufacturing,No,140,58.9,12,98,71,74,3,16,12,38.5,NA
1419,John555,No,Male,40,22.1,Job Board,LEIDEN UNIVERSITY,93.56,Bachelor,Tokyo,Manufacturing,Finance,No,215,46.5,25,87,75,75,26,37,71,58.8,NA
5291,Jane556,No,Female,35,13.6,Job Board,DUKE UNIVERSITY,96.67,Bachelor,Amsterdam,Research,Tech Support,No,102,37.3,4,92,83,62,28,12,2,36.9,NA
75,John557,No,Male,30,11.3,Job Board,NAGOYA UNIVERSITY,69.56,2-Year College,Seoul,Manufacturing,Tech Support,No,303,39.3,9,68,85,90,25,11,12,48.4,NA
4390,Jane558,No,Female,32,18.5,Overseas,UNIVERSITY OF CAMBRIDGE,80.67,Master,Shanghai,Marketing,Legal,No,20,62.1,7,85,95,62,49,34,69,56.1,54234
3073,John559,No,Male,35,17.1,Job Board,SEOUL NATIONAL UNIVERSITY,68.22,HighSchool,Tokyo,Manufacturing,Manufacturing,No,249,56,11,69,87,98,7,25,29,50,NA
2966,John560,Yes,Male,38,22.4,Job Board,UNIVERSITY OF SUSSEX,72,HighSchool,Shanghai,Manufacturing,Quality Assurance,No,333,42.8,17,88,75,62,46,23,46,44.3,NA
2175,John561,No,Male,47,24.6,Job Board,UNIVERSITY OF CAMBRIDGE,81.78,Master,Amsterdam,Manufacturing,Quality Assurance,No,243,37.6,11,77,79,64,14,61,1,47.6,NA
3362,John562,No,Male,47,28.2,Job Board,KYOTO UNIVERSITY,85.11,2-Year College,Tokyo,Research,Biz Dev,No,72,47.1,9,82,95,86,9,39,16,43.9,NA
2550,John563,No,Male,39,20,Job Board,KYOTO UNIVERSITY,78,HighSchool,Tokyo,Marketing,Biz Dev,No,71,49.3,18,73,72,98,36,34,15,45.2,114880
2336,Jane564,No,Female,40,27.3,Special,UNIVERSITY OF TORONTO,75.78,Bachelor,Tokyo,Manufacturing,Biz Dev,No,129,57.2,11,73,83,77,50,42,27,58.1,NA
1788,Jane565,No,Female,40,20.7,Job Board,UNIVERSITY OF OXFORD,77.56,Bachelor,Amsterdam,Manufacturing,Manufacturing,No,236,52.4,12,83,87,82,20,23,2,45.9,NA
4576,John566,No,Male,35,17.6,Intern,KYOTO UNIVERSITY,84.42,Doctor,Seoul,Manufacturing,Manufacturing,No,348,51.1,17,72,90,93,21,28,9,47.6,NA
5312,John567,No,Male,33,11.2,Job Board,UNIVERSITY OF CAMBRIDGE,79.33,HighSchool,Tokyo,Administration,Tech Support,No,110,41.1,19,75,94,64,28,7,24,41,NA
4799,John568,No,Male,34,17.3,Job Board,YALE UNIVERSITY,86.44,Bachelor,Shanghai,Marketing,Tech Support,No,68,39.1,12,95,72,71,26,9,32,40.5,96714
2928,John569,Yes,Male,46,24.4,Special,UNIVERSITY OF CHICAGO,89.11,HighSchool,Amsterdam,Administration,Manufacturing,No,153,34.9,12,70,90,71,30,23,17,37,NA
1111,John570,No,Male,46,29.8,Job Board,PEKING UNIVERSITY,67.33,HighSchool,Amsterdam,Marketing,Manufacturing,No,34,31.2,18,98,79,62,9,25,3,40,103448
4856,John571,Yes,Male,36,14.7,Overseas,PEKING UNIVERSITY,87.11,Bachelor,Shanghai,Research,Tech Support,No,184,56.3,0,78,99,98,21,25,17,41.5,NA
2309,Jane572,No,Female,40,22,Job Board,MIT,75.81,Bachelor,Seoul,Marketing,Manufacturing,No,93,82,8,77,78,89,2,27,55,46.2,110182
2683,Jane573,Yes,Female,33,16.5,Job Board,PRINCETON UNIVERSITY,93.95,HighSchool,Singapore,Manufacturing,Human Resources,No,305,58.4,2,93,99,63,89,10,56,49.7,NA
507,John574,No,Male,37,15.6,Intern,SOGANG UNIVERSITY,70.22,Bachelor,Tokyo,Marketing,Tech Support,No,120,33.9,24,95,74,86,5,18,43,39.6,112688
2688,John575,No,Male,42,23.2,Job Board,UNIVERSITY OF SUSSEX,74.44,Bachelor,USA,Manufacturing,Tech Support,No,251,47.5,9,91,93,62,11,9,2,37.7,NA
2779,John576,No,Male,33,11.2,Intern,UNIVERSITY OF PENNSYLVANIA,86.22,Bachelor,USA,Administration,Biz Dev,No,46,40.8,12,77,89,78,14,50,37,47.9,NA
1289,Jane577,Yes,Female,32,19.7,Job Board,HARVARD UNIVERSITY,89.78,Bachelor,Shanghai,Marketing,Quality Assurance,No,246,62.1,3,78,74,94,48,23,70,48.5,49376
2783,Jane578,No,Female,39,19.6,Job Board,SEOUL NATIONAL UNIVERSITY,74.89,Bachelor,Tokyo,Marketing,Tech Support,No,108,49,13,69,74,67,19,14,70,49.7,42259
3687,John579,No,Male,41,24.9,Special,PRINCETON UNIVERSITY,71.33,Master,Tokyo,Manufacturing,Tech Support,No,177,32.3,19,70,85,74,21,8,39,44,NA
2852,John580,No,Male,39,17.1,Job Board,UNIVERSITY OF PENNSYLVANIA,80,2-Year College,Seoul,Manufacturing,Tech Support,No,362,26.5,27,76,67,82,34,12,13,44.7,NA
5103,John581,No,Male,37,19.2,Job Board,MIT,66,Master,Shanghai,Administration,Marketing,No,303,48.5,1,88,93,98,72,71,11,60.8,NA
539,Jane582,Yes,Female,31,15.5,Job Board,NAGOYA UNIVERSITY,80,Bachelor,Tokyo,Research,Manufacturing,No,140,56.7,8,87,83,95,16,32,22,41.7,NA
1606,John583,No,Male,40,27.2,Special,THE UNIVERSITY OF TOKYO,70.22,Bachelor,USA,Marketing,Quality Assurance,No,13,50.8,23,98,83,80,60,37,69,53.9,101939
4079,Jane584,No,Female,37,22.2,Job Board,STANFORD UNIVERSITY,80.44,Bachelor,Seoul,Research,Marketing,No,56,71.7,2,73,74,89,95,71,18,60.8,NA
1891,John585,No,Male,33,14.2,Job Board,OSAKA UNIVERSITY,67.11,Bachelor,Shanghai,Research,Biz Dev,No,108,57,10,68,67,79,60,40,34,60.5,NA
5586,Jane586,No,Female,28,11.5,Intern,HARVARD UNIVERSITY,87.11,2-Year College,Tokyo,Manufacturing,Quality Assurance,No,155,59.8,8,85,99,87,1,26,37,51.2,NA
1453,John587,No,Male,42,20.2,Job Board,YALE UNIVERSITY,83.33,Bachelor,USA,Research,Marketing,No,95,59.7,8,93,81,83,89,76,24,62.8,NA
1245,John588,No,Male,46,26.6,Job Board,YALE UNIVERSITY,78,HighSchool,Singapore,Manufacturing,Marketing,No,163,40.8,20,97,71,69,92,73,46,66.7,NA
1567,John589,No,Male,43,25.2,Job Board,NAGOYA UNIVERSITY,81.33,Bachelor,Amsterdam,Research,Biz Dev,No,28,46.9,21,100,97,95,34,47,2,46.7,NA
2291,John590,No,Male,43,20.1,Job Board,PEKING UNIVERSITY,71.56,Master,Tokyo,Research,Marketing,No,73,69.8,7,100,66,67,92,74,21,63.6,NA
5666,John591,No,Male,28,23.1,Job Board,THE UNIVERSITY OF TOKYO,84.89,2-Year College,Tokyo,Research,Marketing,Yes,62,44.4,12,85,90,70,87,74,17,62.8,NA
155,Jane592,Yes,Female,40,27.2,Intern,PRINCETON UNIVERSITY,85.6,2-Year College,Singapore,Marketing,Manufacturing,No,161,74.8,5,79,74,98,21,9,87,45.7,70611
1515,Jane593,Yes,Female,40,25.3,Job Board,UNIVERSITY OF CAMBRIDGE,62.67,HighSchool,Tokyo,Administration,Quality Assurance,No,170,52.8,15,84,74,82,77,19,51,48.4,NA
4463,John594,No,Male,31,12.7,Intern,UNIVERSITY OF HONG KONG,88,Bachelor,Tokyo,Marketing,Tech Support,No,119,68,15,91,100,74,24,5,69,48.2,98997
4619,John595,No,Male,33,15,Job Board,TSINGHUA UNIVERSITY,72.09,HighSchool,Shanghai,Research,Marketing,No,28,51.7,10,91,78,65,89,74,28,63.7,NA
3837,Jane596,No,Female,36,18.4,Job Board,UNIVERSITY OF CHICAGO,90.44,Bachelor,Singapore,Research,Marketing,No,24,46.2,7,67,75,63,93,73,51,64.6,NA
1496,John597,No,Male,45,22.7,Job Board,OSAKA UNIVERSITY,76.44,Bachelor,Singapore,Manufacturing,Marketing,No,309,43.5,12,70,77,82,89,73,53,68.9,NA
708,John598,No,Male,30,11.2,Job Board,KYOTO UNIVERSITY,87.11,Bachelor,USA,Marketing,Biz Dev,No,113,42.4,15,91,95,85,1,57,8,43.2,93713
5127,John599,No,Male,30,12.1,Intern,UNIVERSITY OF PENNSYLVANIA,92.44,Bachelor,Seoul,Manufacturing,Manufacturing,No,324,47.1,10,82,99,63,32,37,3,49.5,NA
1820,John600,No,Male,30,11.2,Job Board,MCGILL UNIVERSITY,69.56,Bachelor,Tokyo,Research,Manufacturing,No,88,52.2,14,92,84,91,31,25,17,50.2,NA
3431,John601,No,Male,36,15.5,Special,PEKING UNIVERSITY,87.56,Master,Tokyo,Research,Manufacturing,No,49,46.4,13,76,69,94,15,25,15,48.4,NA
4952,John602,No,Male,28,12.4,Job Board,UNIVERSITY OF CHICAGO,76.67,Bachelor,Shanghai,Research,Biz Dev,No,96,56.3,11,84,75,74,70,51,32,58,NA
4699,John603,No,Male,33,25.5,Intern,CORNELL UNIVERSITY,73.02,Master,Shanghai,Research,Manufacturing,Yes,48,66.6,3,71,98,62,19,25,18,49,NA
5457,John604,No,Male,28,8.9,Job Board,UNIVERSITY OF HONG KONG,76,Bachelor,Seoul,Marketing,Marketing,No,268,59.9,4,71,78,80,89,73,3,61.8,33074
1658,Jane605,No,Female,41,33.8,Job Board,PEKING UNIVERSITY,87.11,Doctor,Shanghai,Administration,Biz Dev,Yes,14,36.7,0,92,85,77,42,43,15,46.5,NA
3463,Jane606,No,Female,50,30.7,Job Board,DUKE UNIVERSITY,90.44,2-Year College,Shanghai,Manufacturing,Manufacturing,No,120,54.1,11,97,73,82,23,41,34,51.5,NA
1219,John607,No,Male,33,16.6,Job Board,PEKING UNIVERSITY,69.78,Bachelor,Shanghai,Manufacturing,Tech Support,No,153,37.7,17,87,69,70,24,18,21,44,NA
5413,John608,No,Male,34,15.8,Job Board,UNIVERSITY OF PENNSYLVANIA,75.56,2-Year College,Shanghai,Marketing,Human Resources,No,77,54.4,1,83,79,75,54,81,71,62.4,48787
29,John609,No,Male,33,12.8,Intern,OSAKA UNIVERSITY,84.44,Master,Singapore,Manufacturing,Tech Support,No,239,43.3,25,75,74,91,19,12,44,48,NA
3419,Jane610,No,Female,38,19.6,Job Board,PRINCETON UNIVERSITY,85.78,Bachelor,Seoul,Marketing,Quality Assurance,No,21,79.8,2,100,90,75,55,33,55,50.2,133058
2135,John611,No,Male,51,33.6,Special,UNIVERSITY OF CAMBRIDGE,81.56,Bachelor,Shanghai,Marketing,Manufacturing,No,41,39,10,88,94,85,23,23,20,41.6,82381
5340,John612,No,Male,39,21,Job Board,HOKKAIDO UNIVERSITY,91.11,Bachelor,Shanghai,Research,Biz Dev,No,173,35.9,12,78,74,76,18,25,23,46,NA
1198,John613,No,Male,38,19.1,Job Board,SEOUL NATIONAL UNIVERSITY,89.78,Bachelor,Tokyo,Marketing,Manufacturing,No,110,64.2,15,85,91,100,19,23,12,38.5,118690
